"","site","year","experiment","doy","tMax","tMin","p","irrigation","gddRate","gddState","phenoCode","phenoStage","rootRate","rootState","trc1","ev1","dc1","wc1mm","daysNoRain","trc2","dc2","wc2mm","dc3","wc3mm","wc1","wc2","wc3","waterStress","heatStress","coldStress","fIntPot","fIntAct","kc","et0","etR","radiation","carbonRateIde","carbonStateIde","carbonRatePot","carbonStatePot","carbonRateAct","carbonStateAct","floweringRateIde","floweringStateIde","floweringRateAct","floweringStateAct","cycleCompletion","fruitSetCoefficient","fruitsStateIde","fruitsStatePot","fruitsStateAct"
"1","Foggia",2005,1,118,27.7,7.2,0,27.9,8.02,8.02,0,"post-transplanting",0.501045198734098,4.5010451987341,0.408392205368602,3.78773826946164,20.1038695251698,10.8,0,0.204338386356323,25.2181096685351,5.40376271544275,0,158.495768423371,0.3,0.3,0.237986116121349,1,0,0.28,0.0498623700192272,0.0498623700192272,0.169807318026918,3.98651537413405,0.676939483954779,14.1446046485029,8.15014918419302,8.15014918419302,5.86810741261898,5.86810741261898,5.86810741261898,5.86810741261898,0,0,0,0,0.534666666666667,1,0,0,0
"2","Foggia",2005,1,119,23.6,10.4,0,0,7.36,15.38,0,"post-transplanting",0.460011579857566,4.96105677859166,0.290701639209875,1.23238199092996,0,9.27691636986017,1,0.190027473373411,0,6.42890005595557,0,157.280603609484,0.257692121385005,0.273190290652561,0.238135331100597,0.819091973642146,0,0,0.0497360661964732,0.0497360661964732,0.169630492675062,3.13095468605105,0.531105385938136,11.2527123564227,5.95283468707487,14.1029838712679,5.95283468707487,11.8209420996939,4.87591911260158,10.7440265252206,0,0,0,0,1.02533333333333,1,0,0,0
"3","Foggia",2005,1,120,23.2,8.8,0,0,5.91,21.29,0,"post-transplanting",0.369175902506205,5.33023268109787,0.248861470330229,0.935687506696056,0,8.09236739283388,2,0.193301710409856,0,7.20333515861658,0,156.312866796414,0.224787983134275,0.257604287655042,0.238268294742324,0.695671892343169,0,0.12,0.0496346455996693,0.0496346455996693,0.169488503839537,3.09767212166022,0.525019813285636,11.4626706692578,4.86650305787285,18.9694869291407,4.28252269092811,16.103464790622,2.97923066440052,13.7232571896211,0,0,0,0,1.41933333333333,1,0,0,0
"4","Foggia",2005,1,121,27.6,7.4,0,0,8.09,29.38,0,"post-transplanting",0.505594406439067,5.83582708753694,0.272497765448912,1.02334244223628,0,6.79652718514869,3,0.257585514851104,0,8.26293149554417,0,154.995684944635,0.188792421809686,0.242813684816992,0.238465878535506,0.575215964449868,0,0.26,0.0494958143597128,0.0494958143597128,0.169294140103598,4.0180422618494,0.680231009619709,14.2362608483893,8.27743993158608,27.2469268607268,6.1253055493737,22.2287703399957,3.52337353913312,17.2466307287542,0,0,0,0,1.95866666666667,1,0,0,0
"5","Foggia",2005,1,122,29.4,8.8,0,0,10.37,39.75,0,"post-transplanting",0.647827445545539,6.48365453308247,0.242931400365363,0.999027727818545,0,5.55456805696478,4,0.282096358036956,0,9.65434278164495,0,153.322177300497,0.154293557137911,0.230943842880195,0.238746648279134,0.477388007090699,0,0.12,0.0493178563920552,0.0493178563920552,0.169044998948877,4.45148717150171,0.752501644227447,15.0877412266191,11.2403907865767,38.4873176473035,9.8915438921875,32.1203142321832,4.72210442574157,21.9687351544958,0,0,0,0,2.65,1,0,0,0
"6","Foggia",2005,1,123,32,10.8,0,0,13.23,52.98,0,"post-transplanting",0.827143021326729,7.3107975544092,0.217670399055795,1.03831793703264,0,4.29857972087635,5,0.312777674638999,0,11.4552212564847,0,151.208521151018,0.119404992246565,0.221444352077571,0.239151657475367,0.397861511239393,0,0,0.0490908184063166,0.0490908184063166,0.168727145768843,5.11626001740551,0.863251949748084,16.3229326742136,15.5266098264211,54.0139274737246,15.5266098264211,47.6469240586042,6.17744044996431,28.1461756044601,0,0,0,0,3.532,1,0,0,0
"7","Foggia",2005,1,124,30.1,12.2,0,0,12.96,65.94,0,"post-transplanting",0.809788310782641,8.12058586519185,0.15501440082126,0.869700709631148,0,3.6,6,0.264588183248842,0,13.2314146218829,0,149.167739602371,0.1,0.215330416125265,0.239606502389625,0.363618652915861,0,0,0.0488684138488584,0.0488684138488584,0.168415779388402,4.65901335293157,0.784651365014941,14.9595856438851,13.9312122268554,67.9451397005801,13.9312122268554,61.5781362854597,5.06564862341414,33.2118242278742,0,0,0,0,4.396,1,0,0,0
"8","Foggia",2005,1,125,24.8,13.5,0,20,10.43,76.37,0,"post-transplanting",0.652111811151765,8.77269767634361,0.0955800227924944,3.18078223958491,9.52363773762261,10.8,0,0.183918191826367,3.41065661346747,20.781711634837,0,150.957162135213,0.3,0.3,0.24556755754555,1,0,0,0.0486894262304718,0.0486894262304718,0.168165196722661,3.34357919199951,0.562273652580391,11.3172867316528,8.48715680008725,76.4322965006673,8.48715680008725,70.0652930855469,8.48715680008725,41.6989810279615,0,0,0,0,5.09133333333333,1,0,0,0
"9","Foggia",2005,1,126,17.2,12.1,1.2,0,4.02,80.39,0,"post-transplanting",0.251331651234884,9.02402932757849,0.087926024738623,0.685122882728868,0.426951092532509,10.8,1,0.176556317227619,0,21.6644449572281,0,150.324823588127,0.3,0.299694824664484,0.245744582537615,0.998981394505454,0,0,0.0486204396316306,0.0486204396316306,0.168068615484283,1.73856263501788,0.292197815000162,6.70121274675408,1.93686089465565,78.369157395323,1.93686089465565,72.0021539802026,1.93488799750618,43.6338690254676,0,0,0,0,5.35933333333333,1,0,0,0
"10","Foggia",2005,1,127,23.5,10.4,0,0,7.29,87.68,0,"post-transplanting",0.455448026615162,9.47947735419366,0.154178435221221,0.969798777911833,0,9.67602278686694,2,0.332998559840305,0,22.4725321349626,0,149.183737850552,0.268778410746304,0.289021923972745,0.246077781921852,0.913076978500615,0,0,0.0484953370680604,0.0484953370680604,0.167893471895285,3.2067560568282,0.538393407902118,11.5417364556154,6.04516025628568,84.4143176516086,6.04516025628568,78.0473142364883,5.51969666136133,49.153565686829,0,0,0,0,5.84533333333333,1,0,0,0
