"","site","year","experiment","doy","tMax","tMin","p","irrigation","gddRate","gddState","phenoCode","phenoStage","rootRate","rootState","ftsw","trc1","ev1","dc1","wc1mm","daysNoRain","trc2","dc2","wc2mm","dc3","wc3mm","wc1","wc2","wc3","waterStress","heatStress","coldStress","fIntPot","fIntAct","kc","et0","etR","radiation","carbonRateIde","carbonStateIde","carbonRatePot","carbonStatePot","carbonRateAct","carbonStateAct","floweringRateIde","floweringStateIde","floweringRateAct","floweringStateAct","cycleCompletion","fruitSetCoefficient","fruitsStateIde","fruitsStatePot","fruitsStateAct","kt","carbonSugarRate","carbonSugarState","fruitWaterContentPot","fruitWaterContentPotRate","fruitWaterContentSensitivity","fruitWaterContentAct","fruitFreshWeightPot","fruitFreshWeightAct","brixPot","brixAct","swc_sim","swc_sim_2","month","day","swc","date"
"11","Foggia",2005,1,128,25,10.3,0,0,9.48,107.03,0,"post-transplanting",0.631909294499614,13.1350634359433,0.827038648856488,0.314204168907751,1.12147641247687,0,8.3429546690844,3,1.0614930612393,0,34.5509950884716,0.496437326804596,176.680810846494,0.27809848896948,0.34090556321472,0.377,1,0,0,0.024339754708056,0.024339754708056,0.320688791501848,4.28982012032411,1.37569723014705,25.2004242611424,0.445734893364641,2.8419959531894,0.445734893364641,2.73672205003672,0.445734893364641,2.68614985061024,0,0,0,0,7.13533333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365957934340083,0.365957934340083,NA,NA,NA,NA
"12","Foggia",2005,1,129,26.7,8.2,0,0,9.21,116.24,0,"post-transplanting",0.614291691442266,13.7493551273856,0.700009390637264,0.337614745016027,1.10410441990678,0,6.90123550416159,4,1.20971359680633,0,35.15017406067,0.506987107732613,174.364931169756,0.230041183472053,0.326997979358965,0.377,0.999133564255593,0,0.18,0.0263481555383017,0.0263481555383017,0.322395932207556,4.80362811777847,1.54867016500962,28.3788810078686,0.528223802501847,3.37021975569125,0.433143518051514,3.16986556808823,0.432768227025016,3.11891807763525,0,0,0,0,7.74933333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360693901224313,0.360693901224313,NA,NA,NA,NA
"13","Foggia",2005,1,130,23.4,9.1,0,10.5,7.56,123.8,0,"post-transplanting",0.504294706537424,14.253649833923,0.575850898068461,0.278190097563844,3.98010092834901,1.83294447824874,11.31,0,1.04355131508279,0,37.4050890870805,0.435669180401533,172.46374012611,0.377,0.332381846237357,0.377,0.996889445239672,0,0.0900000000000001,0.0279967451448877,0.0279967451448877,0.323797233373155,4.09474032979682,1.32586559016969,25.0434559083756,0.406615615929037,3.77683537162029,0.370020210495423,3.53988577858365,0.368869242368249,3.4877873200035,0,0,0,0,8.25333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368631382021985,0.368631382021984,NA,NA,NA,NA
"14","Foggia",2005,1,131,25.5,10.2,0,0,9.74,133.54,0,"post-transplanting",0.649279544855367,14.9029293787783,0.785322899353886,0.291614190626562,1.78797809036355,0,9.23040771900989,1,1.15702103895919,0,38.1143543596735,0.581497572552507,170.015956242006,0.307680257300329,0.320209867225016,0.377,0.999656888861206,0,0,0.0301207217015211,0.0301207217015211,0.325602613446293,4.45061674330691,1.44913244306856,25.9983432480691,0.584710116643629,4.36154548826392,0.584710116643629,4.12459589522728,0.584509496089643,4.07229681609314,0,0,0,0,8.90266666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362267863867815,0.362267863867816,NA,NA,NA,NA
"15","Foggia",2005,1,132,21.5,13.1,0.2,0,9.01,142.55,1,"vegetative",0.600925547690117,15.5038549264685,0.643285448276972,0.207017091758278,1.00045040770145,0,8.22294021955016,2,0.862837227548305,0,38.954299325805,0.56270712111197,167.750466927214,0.274098007318339,0.311538318021793,0.377,0.998437474306907,0,0,0.0339543989727184,0.0339530835953441,0.328860121056042,3.25831118364286,1.07152861029105,19.3317180624964,0.453612494461897,4.81515798272581,0.453612494461897,4.57820838968918,0.452886168008716,4.52518298410186,0,0,0,0,9.50333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358212844120948,0.358212844120949,NA,NA,NA,NA
"16","Foggia",2005,1,133,25.4,10.5,0,0,9.87,152.42,1,"vegetative",0.657867130144834,16.1617220566133,0.563786180026456,0.273397298734263,1.14187649989105,0,6.80766642092484,3,1.19945975232308,0,39.5941315444463,0.640867109681636,165.270307846568,0.226922214030828,0.300827896031672,0.377,0.996484767062459,0,0,0.0391420139857628,0.0391325928266448,0.333262703902648,4.43509799765065,1.47805275077028,25.8352212030979,0.765052749388511,5.58021073211433,0.765052749388511,5.34326113907769,0.762179916195585,5.28736290029744,0,0,0,0,10.1613333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352786843019898,0.352786843019899,NA,NA,NA,NA
"17","Foggia",2005,1,134,26,9.3,0,0,9.48,161.9,1,"vegetative",0.631909294499614,16.7936313511129,0.461599084040907,0.279354169548654,1.05337920018634,0,6.33,4,1.28443614371681,0,40.0502927946138,0.641700646379206,162.888009806304,0.211,0.290353510073926,0.377,0.990152576074696,0,0.07,0.0448317312277068,0.0448023093871346,0.338081962979064,4.67147894297222,1.57934277105541,27.4424679795194,0.894048872292749,6.47425960440707,0.831465451232257,6.17472659030995,0.822737363816301,6.11010026411375,0,0,0,0,10.7933333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348780504334864,0.348780504334863,NA,NA,NA,NA
"18","Foggia",2005,1,135,27.9,13.2,0,0,12.79,174.69,1,"vegetative",0.852333676102025,17.6459650272149,0.396762513067305,0.274205738566252,0.96073142197951,0,6.33,5,1.33866921910099,0,41.0255391786986,0.899382355718814,159.6747118474,0.211,0.280114960690303,0.377,0.981126234724266,0,0,0.0537591045755967,0.0536417711051284,0.345595505439359,4.75672149713468,1.64390157003652,25.8301760568004,1.36109011846835,7.83534972287543,1.36109011846835,7.5358167087783,1.33248660493963,7.44258686905338,0,0,0,0,11.646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345050418376831,0.345050418376831,NA,NA,NA,NA
"19","Foggia",2005,1,136,29.9,12.2,0.1,0,13.23,187.92,1,"vegetative",0.882024677418381,18.5279897046333,0.348940123962367,0.295386529182128,0.973971681788081,0,6.33,6,1.52891966134248,0,41.8439034541741,0.977949097049361,156.349478813532,0.211,0.269474054595029,0.377,0.96952487600777,0,0,0.0647295448327452,0.0644051578478919,0.354744384170708,5.30424097563052,1.88164969839308,28.432643067569,1.86680245206536,9.70215217494079,1.86680245206536,9.40261916084366,1.80084118822382,9.2434280572772,0,0,0,0,12.528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340872303779511,0.34087230377951,NA,NA,NA,NA
"20","Foggia",2005,1,137,28.1,11.9,0,10.5,12.25,200.17,1,"vegetative",0.816496580927726,19.344486285561,0.297624853663586,0.265765259676014,4.57596809931899,0.678266641004994,11.31,0,1.44793221398439,0,43.2018847958794,0.950545195412872,153.271286703435,0.377,0.264320848273124,0.377,0.949059348044175,0,0,0.0766979652557615,0.0760088391745257,0.364607513298347,4.9523938034547,1.80567998955176,27.284021417181,1.96491801836402,11.6670701933048,1.96491801836402,11.3675371792077,1.84806849639507,11.0914965536723,0,0,0,0,13.3446666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34630528583219,0.346305285832191,NA,NA,NA,NA
