"","site","year","experiment","doy","tMax","tMin","p","irrigation","gddRate","gddState","phenoCode","phenoStage","rootRate","rootState","ftsw","trc1","ev1","dc1","wc1mm","daysNoRain","trc2","dc2","wc2mm","dc3","wc3mm","wc1","wc2","wc3","waterStress","heatStress","coldStress","fIntPot","fIntAct","kc","et0","etR","radiation","carbonRateIde","carbonStateIde","carbonRatePot","carbonStatePot","carbonRateAct","carbonStateAct","floweringRateIde","floweringStateIde","floweringRateAct","floweringStateAct","cycleCompletion","fruitSetCoefficient","fruitsStateIde","fruitsStatePot","fruitsStateAct","kt","carbonSugarRate","carbonSugarState","fruitWaterContentPot","fruitWaterContentPotRate","fruitWaterContentSensitivity","fruitWaterContentAct","fruitFreshWeightPot","fruitFreshWeightAct","brixPot","brixAct","swc_sim","swc_sim_2","month","day","swc","date"
"29","Foggia",2005,1,146,25.6,15.4,0,0,12.74,295.74,1,"vegetative",0.424604963466043,15.8576452431123,0.444451566061264,0.308990748142918,1.07190822874114,0,8.19240533752681,2,1.32429780767517,0,34.275478897352,0.411743409174846,166.416677433467,0.27308017791756,0.266576641751047,0.377,0.897684385297126,0,0,0.254010187388737,0.17236044688352,0.446506379850992,4.07484955888911,1.81944632497699,22.1563295205916,5.4961914611606,41.5569142871234,5.4961914611606,38.818577229931,3.34789632436779,21.9362706677538,0,0,0,0,19.716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348140936113909,0.34814093611391,NA,NA,NA,NA
"30","Foggia",2005,1,147,29.8,13.9,0,0,13.85,309.59,1,"vegetative",0.461675038521415,16.3193202816337,0.342001171788549,0.381650163256049,1.11980877396868,0,6.69094640030208,3,1.69444025331504,0,33.8615457434486,0.46000779581405,164.676162538241,0.223031546676736,0.254228782155956,0.377,0.82469199803543,0,0,0.293924107803453,0.208190549995803,0.476961967496432,5.27801637021429,2.51741307241579,27.7212335207346,8.65190993816418,50.2088242252876,8.65190993816418,47.4704871680952,5.05393409841341,26.9902047661672,0,0,0,0,20.6393333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342047757803319,0.342047757803319,NA,NA,NA,NA
"31","Foggia",2005,1,148,29.8,14,0,0,13.89,323.48,1,"vegetative",0.462833572192152,16.7821538538259,0.226818813948928,0.326836020227256,0.942360015101589,0,6.33,4,1.5015014385814,0,33.6303385809084,0.47458829112324,162.931279971076,0.211,0.244013663884421,0.377,0.682887822659597,0,0,0.337064978164627,0.243768480570947,0.507203208485305,5.27867588256821,2.67736134419259,27.6897796610788,9.93541060456058,60.1442348298481,9.93541060456058,57.4058977726558,4.90680849126428,31.8970132574314,0,0,0,0,21.5653333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338152697586641,0.338152697586641,NA,NA,NA,NA
"32","Foggia",2005,1,149,31.1,14.6,0.8,0,14.45,337.93,1,"vegetative",0.48168606796206,17.2638399217879,0.164317830855644,0.290084201811024,0.854885300442663,0,6.33,5,1.37923820615736,0,33.5591291680392,0.507927682928766,161.115323494859,0.211,0.235274157253952,0.377,0.564068366256656,0,0,0.384546350822607,0.276192931762244,0.534763991997907,5.53409132795286,2.95943277061707,28.3511566801029,12.0784553369484,72.2226901667966,12.0784553369484,69.4843531096042,4.89335820103583,36.7903714584673,0,0,0,0,22.5286666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335007421104831,0.33500742110483,NA,NA,NA,NA
"33","Foggia",2005,1,150,32.4,13.7,0,17.8,14.55,352.48,1,"vegetative",0.484860481627189,17.7487004034151,0.121513146880588,0.256686250860911,4.12743658800738,8.43587716113171,11.31,0,1.26192953720781,0,42.0350510144171,0.525949793280517,159.287399479125,0.377,0.285008508306832,0.377,0.458413626154134,0,0,0.43408347398515,0.304135255893594,0.558514967509555,5.93137764625168,3.31276319338315,30.2376840840125,14.6374829427122,86.8601731095088,14.6374829427122,84.1218360523165,4.70129426451615,41.4916657229834,0,0,0,0,23.4986666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354387417489237,0.354387417489237,NA,NA,NA,NA
"34","Foggia",2005,1,151,36.1,13.1,0,0,14.98,367.46,1,"vegetative",0.499339289209399,18.2480396926245,0.536939890547711,0.610350184110915,1.90438339492726,0,8.79526642096182,1,3.10221461124131,0,40.2584773504411,0.556868173054085,157.404890358806,0.293175547365394,0.264023954304855,0.377,0.938079025987236,0.22,0,0.485710177862087,0.327801640424206,0.578631394360575,6.83963022892964,3.9576247762763,33.5932310182688,18.7392651104818,105.599438219991,14.6166267861758,98.7384628384923,9.25380838529048,50.7454741082739,0,0,0,0,24.4973333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344097723550348,0.344097723550348,NA,NA,NA,NA
"35","Foggia",2005,1,152,27.2,16.4,0,0,13.82,381.28,1,"vegetative",0.460500448932101,18.7085401415566,0.34758160009371,0.359452642134559,0.875212315979078,0,7.56060146284819,2,1.8821587526531,0,39.584402309027,0.52800298123509,155.668803666332,0.252020048761606,0.251992877455921,0.377,0.8297025180315,0,0,0.532798931763072,0.371974612818595,0.616178420895805,4.38461467020915,2.70170494372606,23.0579799260368,13.0119533056637,118.611391525654,13.0119533056637,111.750416144156,7.53728364748327,58.2827577557572,0,0,0,0,25.4186666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338023012397011,0.338023012397012,NA,NA,NA,NA
"36","Foggia",2005,1,153,27.3,15.6,0,0,13.56,394.84,1,"vegetative",0.451835802984408,19.160375944541,0.246970673206331,0.328025576710322,0.717318627123816,0,6.51525725901405,3,1.76700554635456,0,38.9896757444091,0.53114199551456,153.96538268908,0.217175241967135,0.241267133129906,0.377,0.713933031174915,0,0,0.577535089450529,0.409092315498932,0.647728468174092,4.53043619478737,2.93449249661009,24.037282485719,14.4268733824141,133.038264908068,14.4268733824141,126.17728952657,7.29579532193684,65.578553077694,0,0,0,0,26.3226666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332450526154173,0.332450526154172,NA,NA,NA,NA
"37","Foggia",2005,1,154,29.8,13.5,0,0,13.71,408.55,1,"vegetative",0.456881180708307,19.6172571252493,0.16013760638061,0.307657277997025,0.711897127518657,0,6.33,4,1.70414003164363,0,38.457933809952,0.550043954083776,152.24294063781,0.211,0.231433704853231,0.377,0.554717740953995,0,0,0.620467439336251,0.439743138188308,0.673781667460061,5.38261078214059,3.62670446807919,28.4139086281566,18.5259753025579,151.564240210626,18.5259753025579,144.703264829128,7.28338407350417,72.8619371511982,0,0,0,0,27.2366666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32838479074627,0.32838479074627,NA,NA,NA,NA
"38","Foggia",2005,1,155,33.1,12.7,0,0,14.48,423.03,1,"vegetative",0.482506370320641,20.09976349557,0.104722061886042,0.264317693623483,0.712846224263641,0,6.33,5,1.50659001621869,0,38.1756469386348,0.594745871207323,150.423891621701,0.211,0.223252485033053,0.377,0.410387152119549,0,0,0.66258327901685,0.46310554163431,0.693639710389163,6.22111492757869,4.31521235666339,31.8316261343553,23.4061608203013,174.970401030928,23.4061608203013,168.109425649429,6.71372343167223,79.5756605828704,0,0,0,0,28.202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324882564267227,0.324882564267226,NA,NA,NA,NA
